,단어,품사,점수
10570,노형동,N,0
10571,가능,N,1
10572,많다,V,2
10573,네일,N,0
10574,플러스,N,0
10575,시간,N,0
10576,취소,N,0
10577,정지연,N,0
10578,사거리,N,0
10579,카카오톡,N,0
10580,제주시,N,0
10581,그램,N,0
10582,여부,N,0
10583,하다,V,0
10584,변동,N,0
10585,아라동,N,0
10586,스타,N,0
10587,시간대,N,0
10588,빠르다,V,1
10589,검색,N,0
10590,시청,N,0
10591,제거,N,0
10592,제주,N,0
10593,월랑,N,0
10594,이다,V,0
10595,동시,N,0
10596,환불,N,-1
10597,이달,N,0
10598,날짜,N,0
10599,보내다,V,0
10600,계좌,N,0
10601,맞은편,N,0
10602,예약,N,0
10603,불가,N,-2
10604,올리브,N,0
10605,지다,V,0
10606,쇼시,N,0
10607,아트,N,0
10608,시술,N,0
10609,연락처,N,0
10610,본죽,N,0
10611,주다,V,0
10612,성함,N,0
10613,카톡,N,0
10614,국민,N,0
10615,친구,N,0
10616,받다,V,0
10617,오후,N,0
10618,아이디,N,0
10619,겨울,N,0
10620,디자인,N,0
10621,크리스마스,N,0
10622,양식,N,0
10623,예약금,N,0
10624,사진,N,0
10625,당일,N,0
10626,노형동,N,0
10627,가능,N,1
10628,많다,V,2
10629,네일,N,0
10630,플러스,N,0
10631,시간,N,0
10632,취소,N,0
10633,정지연,N,0
10634,사거리,N,0
10635,카카오톡,N,0
10636,제주시,N,0
10637,그램,N,0
10638,여부,N,0
10639,하다,V,0
10640,변동,N,0
10641,아라동,N,0
10642,스타,N,0
10643,시간대,N,0
10644,빠르다,V,1
10645,검색,N,0
10646,시청,N,0
10647,제거,N,0
10648,제주,N,0
10649,월랑,N,0
10650,동시,N,0
10651,환불,N,-1
10652,이달,N,0
10653,날짜,N,0
10654,보내다,V,0
10655,계좌,N,0
10656,맞은편,N,0
10657,후기,N,0
10658,예약,N,0
10659,불가,N,-2
10660,올리브,N,0
10661,지다,V,0
10662,쇼시,N,0
10663,아트,N,0
10664,시술,N,0
10665,연락처,N,0
10666,본죽,N,0
10667,예쁘다,V,0
10668,주다,V,0
10669,성함,N,0
10670,카톡,N,0
10671,국민,N,0
10672,친구,N,0
10673,받다,V,0
10674,오후,N,0
10675,아이디,N,0
10676,디자인,N,0
10677,양식,N,0
10678,예약금,N,0
10679,사진,N,0
10680,당일,N,0
10681,노형동,N,0
10682,가능,N,1
10683,여행,N,0
10684,제주,N,0
10685,오다,V,0
10686,네이버,N,0
10687,풀다,V,0
10688,객실,N,0
10689,낮다,V,0
10690,잡다,V,0
10691,카테고리,N,0
10692,마치다,V,0
10693,잔해,N,0
10694,집결,N,0
10695,꺼멍,N,0
10696,저녁,N,0
10697,제주시,N,0
10698,둘레,N,0
10699,동광리,N,0
10700,민속,N,0
10701,포함,N,0
10702,각국,N,0
10703,이루다,V,2
10704,찍다,V,0
10705,첫날,N,0
10706,하멜,N,0
10707,녹차,N,0
10708,지름,N,0
10709,둥지,N,0
10710,조형,N,0
10711,형성,N,0
10712,투어,N,0
10713,아모레,N,0
10714,설립,N,0
10715,종상,N,0
10716,신라,N,0
